Symbol,Date,Entry Price,Exit Price,Side,Microstructure,Context,Risk,Sentiment,Fundamental,OHLCV
BTC/USDT,2021-02-28 08:00:00,45284.86000,50225.53861,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 45284.86| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1997.375398512178| "volatility_pct": 4.410691340355647},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 44338.0| "avgVolume": 13752.0| "maxHigh": 45530.62| "minLow": 43168.0| "priceRange": 2362.62| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-02-28 16:00:00,44405.32000,49519.63625,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 44405.32| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1985.6014915742762| "volatility_pct": 4.471539652398128},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 44770.49| "avgVolume": 12675.0| "maxHigh": 45919.61| "minLow": 43000.0| "priceRange": 2919.61| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-02-28 20:00:00,45135.66000,49519.63625,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 45135.66| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1974.6020993189709| "volatility_pct": 4.374816053025414},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 45736.02| "avgVolume": 12176.0| "maxHigh": 46796.94| "minLow": 44088.0| "priceRange": 2708.94| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-03-01 20:00:00,49587.03000,46743.90465,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 49587.03| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1860.8981226999522| "volatility_pct": 3.752792056108124},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 49204.56| "avgVolume": 12810.0| "maxHigh": 52640.0| "minLow": 46300.0| "priceRange": 6340.0| "volatility": 1.74| "numCandles": 20}
BTC/USDT,2021-03-04 20:00:00,48374.09000,47164.73775,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 48374.09| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1676.884607409907| "volatility_pct": 3.4664933384998187},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 47831.95| "avgVolume": 12841.0| "maxHigh": 48710.94| "minLow": 46300.0| "priceRange": 2410.94| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-03-05 04:00:00,47380.00000,48564.50000,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 47380.0| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1658.378054348338| "volatility_pct": 3.5001647411319925},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 47575.44| "avgVolume": 12201.0| "maxHigh": 48728.21| "minLow": 46418.12| "priceRange": 2310.09| "volatility": 0.43| "numCandles": 3}
BTC/USDT,2021-03-05 08:00:00,47478.87000,48665.84175,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 47478.87| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1618.884621894885| "volatility_pct": 3.409694927227385},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 47673.16| "avgVolume": 13979.0| "maxHigh": 48728.21| "minLow": 46418.12| "priceRange": 2310.09| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-03-06 16:00:00,48341.01000,49549.53525,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 48341.01| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1484.3214794323949| "volatility_pct": 3.0705222738051914},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 48924.88| "avgVolume": 8361.0| "maxHigh": 49900.99| "minLow": 47104.85| "priceRange": 2796.14| "volatility": 0.18| "numCandles": 3}
BTC/USDT,2021-03-15 12:00:00,56224.13000,61566.71172,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 56224.13| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1773.0756912288116| "volatility_pct": 3.153584930934123},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 56397.24| "avgVolume": 16166.0| "maxHigh": 57312.47| "minLow": 55050.0| "priceRange": 2262.47| "volatility": 0.0| "numCandles": 2}
BTC/USDT,2021-03-15 16:00:00,56570.36000,61566.71172,LONG,{"spread": 0.0| "bid_depth": 100000| "ask_depth": 90000| "imbalance": 1.1},{"24h_vol": 500000000| "vwap": 56570.36| "funding": 0.0001| "quality": 60| "condition": "TRENDING"},{"atr": 1733.7124275696108| "volatility_pct": 3.0647010688452587},{"funding_rate": "neutral"| "open_interest": "high"},{},{"avgPrice": 56087.78| "avgVolume": 10794.0| "maxHigh": 56940.0| "minLow": 55478.01| "priceRange": 1461.99| "volatility": 0.0| "numCandles": 2}
